disasterNumber,state,county_clean,validRegistrations,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount
4332,LA,Evangeline Parish,1,1,500.0,0.0,0.0,500.0
4332,TX,Aransas County,3750,2455,6254726.1,30537.0,3034283.38,3131008.33
4332,TX,Austin County,258,77,147171.19,0.0,44122.0,103049.19
4332,TX,Bastrop County,174,58,116869.95999999999,0.0,58687.0,56839.38
4332,TX,Bee County,685,189,142333.93,1565.24,22437.0,118331.68999999999
4332,TX,Brazoria County,16256,6271,9011070.05,29039.33,2678149.5,6269491.49
4332,TX,Caldwell County,26,3,14175.18,0.0,7450.0,6725.18
4332,TX,Calhoun County,2192,1018,1010767.77,0.0,337442.0,659257.65
4332,TX,Chambers County,1629,657,2020909.6,0.0,776597.0,1236334.81
4332,TX,Colorado County,443,209,497066.34,800.6,144553.0,346263.95999999996
4332,TX,DeWitt County,398,104,129462.51999999999,0.0,42608.0,85654.56
4332,TX,Fayette County,211,89,278708.37,0.0,66374.0,212334.37
4332,TX,Fort Bend County,21596,7346,9162525.29,0.0,2807060.2,6263352.37
4332,TX,Galveston County,20925,8175,19833375.21,5846.54,6686098.609999999,13036013.01
4332,TX,Goliad County,230,82,96038.65,0.0,33133.0,62905.649999999994
4332,TX,Gonzales County,169,55,46625.79,0.0,12580.0,34045.79
4332,TX,Grimes County,79,12,24653.35,0.0,7278.0,17375.35
4332,TX,Hardin County,3108,1127,2369126.24,0.0,694618.0,1666590.63
4332,TX,Harris County,263617,93120,192694336.2,88741.48,63405059.42,128292272.5
4332,TX,Jackson County,1021,378,268117.62,0.0,44440.0,223000.77000000002
4332,TX,Jasper County,1397,443,442357.02,0.0,86965.0,350309.14
4332,TX,Jefferson County,33566,14165,34330097.89,50179.439999999995,9172221.3,24885225.669999998
4332,TX,Karnes County,95,26,29828.649999999998,0.0,10236.0,19592.65
4332,TX,Kleberg County,681,181,114457.26,0.0,5040.0,109417.26
4332,TX,Lavaca County,132,33,22319.74,0.0,3806.0,18513.74
4332,TX,Lee County,52,14,23740.78,0.0,3338.0,20402.78
4332,TX,Liberty County,3196,1147,2908445.85,10195.26,944510.0,1948564.82
4332,TX,Matagorda County,4245,1973,1359418.12,0.0,176773.0,1180936.3699999999
4332,TX,Montgomery County,7780,2556,6086684.78,18383.12,2427148.99,3615711.0
4332,TX,Newton County,344,122,213704.83000000002,0.0,44431.0,167992.62
4332,TX,Nueces County,23771,7344,7034776.3100000005,0.0,1954791.6,5037050.95
4332,TX,Orange County,9991,5037,13111608.04,73484.23000000001,3866182.0,9088427.49
4332,TX,Polk County,593,153,213842.06,0.0,41646.0,170397.76
4332,TX,Refugio County,783,498,910645.38,0.0,404832.0,501830.11
4332,TX,Sabine County,51,7,5864.0,0.0,2864.0,3000.0
4332,TX,San Jacinto County,486,172,388600.14,0.0,103172.0,284473.23
4332,TX,San Patricio County,6035,2968,5330346.88,0.0,2702591.13,2593164.6599999997
4332,TX,Tyler County,433,106,95916.57,0.0,19718.0,75838.56999999999
4332,TX,Victoria County,8814,3703,4706188.39,2300.4,1839720.34,2844706.97
4332,TX,Walker County,769,235,350439.11000000004,0.0,155731.0,194708.11
4332,TX,Waller County,951,267,557113.8,0.0,190036.0,363966.8
4332,TX,Wharton County,2401,1124,2504360.0999999996,0.0,706151.0,1781035.1600000001
4335,VI,St. John County,1131,732,2288034.74,0.0,1527615.0,752867.88
4335,VI,St. Thomas County,7378,4518,12425023.13,0.0,5700234.48,6695237.750000001
4336,PR,Canovanas,180,43,106128.51,0.0,27475.0,78653.51
4336,PR,Catano,116,32,46780.27,0.0,4885.0,41895.27
4336,PR,Culebra,63,27,65508.32,0.0,17774.0,47734.32
4336,PR,Dorado,88,17,20781.77,0.0,5049.0,15732.77
4336,PR,Fajardo,221,56,63538.43,0.0,21486.0,42052.43
4336,PR,Loiza,175,67,106267.87,0.0,25157.0,81110.87
4336,PR,Luquillo,104,30,43253.52,0.0,12446.0,30807.52
4336,PR,Toa Baja,182,22,39144.53,0.0,8838.0,30306.53
4336,PR,Vega Baja,186,23,32361.97,0.0,8382.0,23979.97
4336,PR,Vieques,71,28,35529.82,0.0,12961.0,22568.82
4337,FL,Alachua County,12185,3514,3204141.98,0.0,1607069.0,1590098.13
4337,FL,Baker County,1086,373,313052.1,0.0,170704.0,142348.1
4337,FL,Bradford County,1290,439,481345.59,0.0,225086.0,252668.83000000002
4337,FL,Brevard County,28706,9019,9605392.36,0.0,5248610.0,4274180.25
4337,FL,Broward County,177121,53864,62566269.160000004,2000.0,41042548.5,21392082.76
4337,FL,Charlotte County,6225,1989,1962721.84,0.0,1134264.0,821603.39
4337,FL,Citrus County,5532,1651,1436699.87,0.0,856524.0,577119.38
4337,FL,Clay County,6011,1756,2098993.29,0.0,1124989.0,969702.63
4337,FL,Collier County,32435,11145,13832920.66,0.0,8791472.98,4938711.63
4337,FL,Columbia County,3814,1070,920210.46,0.0,447352.0,470171.99999999994
4337,FL,DeSoto County,1929,738,696378.0800000001,0.0,320604.0,375619.39
4337,FL,Dixie County,578,187,158131.2,0.0,76930.0,81201.20000000001
4337,FL,Duval County,66508,21011,21226183.25,1000.0,11052127.0,10082617.63
4337,FL,Flagler County,3607,1140,1409781.29,0.0,850224.0,531598.48
4337,FL,Gilchrist County,497,139,140565.5,0.0,74040.0,66525.5
4337,FL,Glades County,503,175,192837.27,0.0,97788.0,93287.5
4337,FL,Hamilton County,172,17,14820.029999999999,0.0,11904.0,2842.64
4337,FL,Hardee County,1596,586,526813.28,0.0,252816.0,273831.54
4337,FL,Hendry County,3144,1044,1081187.88,0.0,472271.0,606987.0800000001
4337,FL,Hernando County,6023,1822,1848536.23,0.0,1090419.0,751362.6
4337,FL,Highlands County,8442,3124,3302425.62,499.5,1605231.0,1681780.42
4337,FL,Hillsborough County,80955,23903,22426370.009999998,1000.0,12031094.33,10359327.87
4337,FL,Indian River County,5258,1541,1565955.3199999998,0.0,758353.36,796308.2
4337,FL,Lafayette County,330,124,102440.08,0.0,65336.0,36636.3
4337,FL,Lake County,15822,4670,4708000.16,0.0,2815203.0,1884545.44
4337,FL,Lee County,60884,21237,21766332.9,15000.0,12425759.0,9225690.879999999
4337,FL,Levy County,1541,459,361133.85,0.0,190888.0,168721.1
4337,FL,Manatee County,15927,5151,5183864.79,0.0,3000671.0,2173413.52
4337,FL,Marion County,21741,7267,6835214.8,0.0,4035203.0,2791188.0
4337,FL,Martin County,3641,985,1027292.29,0.0,582889.0,441852.02
4337,FL,Miami-Dade County,374677,116067,136382075.56,1000.0,89893223.0,46276086.2
4337,FL,Monroe County,20035,8633,20273727.05,10000.0,13639057.4,6372568.57
4337,FL,Nassau County,2099,631,708800.5700000001,0.0,432775.0,272493.1
4337,FL,Okeechobee County,1786,515,495569.54,0.0,216202.0,276078.49
4337,FL,Orange County,93970,27296,27112409.96,0.0,15599008.0,11447764.94
4337,FL,Osceola County,16882,4315,4779165.86,0.0,2521909.83,2222652.76
4337,FL,Palm Beach County,88310,27020,32298033.47,499.5,21217414.0,11022824.95
4337,FL,Pasco County,23031,6751,6865986.65,0.0,4088439.8,2758698.43
4337,FL,Pinellas County,75268,24038,23843257.51,0.0,15028750.0,8714135.55
4337,FL,Polk County,47287,16003,15456172.93,0.0,7871929.5,7524836.600000001
4337,FL,Putnam County,5353,1878,1644447.07,0.0,836645.0,804364.7899999999
4337,FL,Sarasota County,13686,4157,4409615.0,10499.5,2785461.0,1602002.42
4337,FL,Seminole County,29304,10201,10565801.11,0.0,6872665.0,3648084.31
4337,FL,St. Johns County,4540,1391,1543049.71,1665.0,898974.0,627492.02
4337,FL,St. Lucie County,14781,4336,5163043.64,0.0,2657829.0,2471462.9
4337,FL,Statewide,7,0,0.0,0.0,0.0,0.0
4337,FL,Sumter County,2609,713,625596.49,0.0,331818.0,291815.89
4337,FL,Suwannee County,2053,665,534583.16,0.0,305904.0,228310.14
4337,FL,Union County,572,168,133092.9,0.0,65812.0,67280.9
4337,FL,Volusia County,30298,9814,11403011.5,3665.0,6372658.99,4988742.09
4337,GA,Bulloch County,1,0,0.0,0.0,0.0,0.0
4337,GA,Chatham County,1,1,500.0,0.0,0.0,500.0
4337,GA,Dougherty County,1,0,0.0,0.0,0.0,0.0
4337,PR,Anasco,1,0,0.0,0.0,0.0,0.0
4337,PR,Fajardo,1,0,0.0,0.0,0.0,0.0
4337,PR,San Juan,1,0,0.0,0.0,0.0,0.0
4338,GA,Camden County,2386,651,639494.01,0.0,381592.0,255534.38999999998
4338,GA,Charlton County,250,36,38903.799999999996,0.0,21398.0,17505.8
4338,GA,Chatham County,15865,2873,2619497.46,0.0,1419658.0,1191463.73
4338,GA,Coffee County,191,27,18487.0,0.0,9570.0,8917.0
4338,GA,Glynn County,6397,1805,1832888.1199999999,0.0,1166704.0,654722.36
4338,GA,Liberty County,1337,209,193498.46,0.0,106398.0,84202.5
4338,GA,McIntosh County,528,107,97804.59,0.0,66010.0,31794.590000000004
4339,PR,Adjuntas,1597,750,1583152.01,1108.8,214060.0,1367983.21
4339,PR,Aguada,2701,1059,1869365.5000000002,27404.64,218785.0,1623175.86
4339,PR,Aguadilla,5965,2347,3928543.64,206.87,288723.0,3636823.77
4339,PR,Aguas Buenas,2294,1033,1639886.1,0.0,300081.0,1339805.1
4339,PR,Aibonito,2121,1037,2166280.8400000003,0.0,297281.64,1868999.2
4339,PR,Anasco,1975,847,1662924.6700000002,1813.49,198817.0,1461776.1500000001
4339,PR,Arecibo,7741,3399,6389584.27,7561.13,670173.0,5711850.14
4339,PR,Arroyo,1468,722,1291082.2000000002,0.0,148311.0,1142771.2000000002
4339,PR,Barceloneta,1993,935,1648762.5799999998,3733.07,206702.0,1437584.51
4339,PR,Barranquitas,2873,1618,3329079.16,3326.79,360542.0,2965210.37
4339,PR,Bayamon,22160,9404,10945517.24,9203.53,2002669.96,8932417.05
4339,PR,Cabo Rojo,3492,1158,1101936.52,3506.76,88336.0,1010093.76
4339,PR,Caguas,14040,6213,8594733.77,313.02,1313341.0,7280612.750000001
4339,PR,Camuy,2225,840,1053919.17,6479.29,95836.0,951603.88
4339,PR,Canovanas,3544,1761,4079263.71,29691.93,681366.0,3368205.78
4339,PR,Carolina,18430,7834,8667206.719999999,7357.629999999999,1391220.0,7268356.59
4339,PR,Catano,3348,1611,2077218.74,8698.18,305804.0,1762716.56
4339,PR,Cayey,4577,1946,2924705.17,1781.21,417332.0,2505184.9599999995
4339,PR,Ceiba,1118,536,1022907.9099999999,0.0,114420.0,908487.9099999999
4339,PR,Ciales,1550,829,2128207.94,0.0,202176.0,1926031.9399999997
4339,PR,Cidra,3538,1588,2540633.31,23951.01,371653.0,2145029.3
4339,PR,Coamo,3071,1376,2415281.2699999996,5085.7,321384.0,2088811.57
4339,PR,Comerio,1758,949,2240781.66,2281.58,358321.0,1879626.08
4339,PR,Corozal,2548,1259,2641349.0300000003,20712.02,388381.0,2232256.0100000002
4339,PR,Culebra,227,108,181950.95,0.0,57130.0,124820.95
4339,PR,Dorado,2609,1180,2168690.92,0.0,468616.0,1697991.93
4339,PR,Fajardo,3422,1504,2006807.64,569.27,193349.0,1812889.3699999999
4339,PR,Florida,1013,440,909416.6,0.0,86437.0,822979.6
4339,PR,Guanica,1386,552,609359.74,0.0,62347.0,547012.74
4339,PR,Guayama,3294,1583,3027529.33,13678.5,341321.0,2672529.83
4339,PR,Guayanilla,1367,567,751976.97,11145.31,76960.0,663871.6599999999
4339,PR,Guaynabo,8912,3515,4179503.4,0.0,852783.83,3324673.61
4339,PR,Gurabo,2796,1264,1926700.5999999999,0.0,302613.0,1623236.16
4339,PR,Hatillo,2684,1033,1405485.8599999999,32150.0,142665.0,1230670.8599999999
4339,PR,Hormigueros,1381,462,493185.66,0.0,62775.0,430410.66
4339,PR,Humacao,4768,2589,5329446.1,4458.9,685778.82,4635377.149999999
4339,PR,Isabela,3224,1140,1620865.8100000003,744.02,185341.0,1431171.8000000003
4339,PR,Jayuya,1386,507,1062806.97,0.0,169352.0,893454.97
4339,PR,Juana Diaz,3113,1427,2466719.92,588.0,363196.0,2102935.92
4339,PR,Juncos,3261,1774,2896529.44,0.0,332452.0,2564077.44
4339,PR,Lajas,1753,600,615067.96,0.0,53513.0,561554.96
4339,PR,Lares,2386,811,1369771.84,0.0,166482.0,1203289.84
4339,PR,Las Marias,767,297,643884.72,0.0,70963.0,572921.72
4339,PR,Las Piedras,2801,1434,2509761.0300000003,0.0,416993.0,2092768.0299999998
4339,PR,Loiza,1669,899,1444340.47,1314.78,237820.0,1205205.69
4339,PR,Luquillo,1589,754,1049981.08,0.0,150487.0,892651.06
4339,PR,Manati,4073,1840,2723029.63,0.0,371011.0,2352018.63
4339,PR,Maricao,435,198,454818.07,0.0,67504.0,387314.07
4339,PR,Maunabo,766,401,850232.1799999999,0.0,109677.0,740555.1799999999
4339,PR,Mayaguez,10395,3520,3971364.5,1504.3,438925.0,3529906.15
4339,PR,Moca,2556,881,1405686.87,0.0,144574.0,1261112.87
4339,PR,Morovis,2214,1178,2270696.52,23638.42,330070.0,1916988.1
4339,PR,Naguabo,1972,1173,2332765.6300000004,0.0,326809.0,2005956.63
4339,PR,Naranjito,2235,1148,2455804.05,0.0,410436.0,2044748.46
4339,PR,Orocovis,1733,974,2025919.4600000002,667.46,247081.0,1778171.0000000002
4339,PR,Patillas,1304,653,1169804.9700000002,589.64,169677.0,999538.33
4339,PR,Penuelas,1344,536,816985.12,0.0,97455.0,719530.12
4339,PR,Ponce,16743,6805,7504979.2,2494.85,1191881.0,6310603.35
4339,PR,Quebradillas,2041,738,831524.1799999999,0.0,98451.0,733073.1799999999
4339,PR,Rincon,1073,382,486762.12,0.0,61841.0,424921.12
4339,PR,Rio Grande,3926,1845,2682676.64,23046.62,439202.0,2220428.02
4339,PR,Sabana Grande,1863,504,419601.71,0.0,18064.0,401537.71
4339,PR,Salinas,2093,1120,2384440.81,522.57,289438.0,2091739.22
4339,PR,San German,2932,1053,815721.0900000001,0.0,53410.0,762311.0900000001
4339,PR,San Juan,63249,25668,25698927.74,5513.3,5396349.6,20244373.59
4339,PR,San Lorenzo,2898,1194,1685463.2,1419.74,203116.0,1480927.46
4339,PR,San Sebastian,3276,1129,1668524.2000000002,2545.16,171726.0,1494253.0400000003
4339,PR,Santa Isabel,1768,922,1876224.69,3539.64,187535.0,1684319.33
4339,PR,Toa Alta,4417,1803,2612758.8000000003,25790.62,461104.0,2125864.18
4339,PR,Toa Baja,7720,3605,9217547.11,6141.79,1521228.91,7689272.69
4339,PR,Trujillo Alto,6541,2840,3557205.7,0.0,722839.0,2830381.83
4339,PR,Utuado,2702,1231,2729191.15,0.0,371344.0,2357847.15
4339,PR,Vega Alta,2679,1133,1848372.06,0.0,322052.0,1525767.06
4339,PR,Vega Baja,4626,2007,3754420.13,22868.5,645693.0,3085092.4899999998
4339,PR,Vieques,668,346,680178.85,0.0,116070.0,561066.85
4339,PR,Villalba,1587,669,1077172.75,0.0,157185.0,919987.7499999999
4339,PR,Yabucoa,1996,1096,2329865.11,19400.46,403597.0,1905777.25
4339,PR,Yauco,3030,1129,1332750.14,4233.38,114261.0,1214255.76
4340,VI,St. Croix County,7357,4700,11036054.61,0.0,4209680.5,6815541.239999999
4340,VI,St. John County,238,117,364380.4,0.0,221642.0,141274.53
4340,VI,St. Thomas County,2906,1309,3016477.48,0.0,1253184.0,1761674.03
4341,FL,Big Cypress Indian Reservation,126,0,0.0,0.0,0.0,0.0
4341,FL,Brighton Indian Reservation,21,0,0.0,0.0,0.0,0.0
4341,FL,Fort Pierce Indian Reservation,57,0,0.0,0.0,0.0,0.0
4341,FL,Hollywood Indian Reservation,215,0,0.0,0.0,0.0,0.0
4341,FL,Immokalee Indian Reservation,45,0,0.0,0.0,0.0,0.0
4341,FL,Tampa Reservation,358,0,0.0,0.0,0.0,0.0
